cenario,rodada,metrica,p50_ms,p95_ms,p99_ms,avg
"design_150vus","1","http_req_duration{expected_response:true}",14.859612,49.34194999999998,"",21.314965822092727
"design_150vus","1","http_req_duration{endpoint:consent_check}",6.316782,18.15915729999999,"",9.056343450332996
"design_150vus","1","http_req_duration",14.8596595,49.34175199999991,"",21.314953827363375
"design_150vus","1","http_req_duration{endpoint:timeline}",20.187902,71.41765839999998,"",31.178212421706224
"design_150vus","2","http_req_duration",14.5492575,40.21006929999999,"",18.7622584137354
"design_150vus","2","http_req_duration{endpoint:consent_check}",6.0187085,14.68592284999999,"",8.069235270527537
"design_150vus","2","http_req_duration{endpoint:timeline}",19.55084,55.57153319999998,"",26.78732018908408
"design_150vus","2","http_req_duration{expected_response:true}",14.5480855,40.15988939999997,"",18.75288733656376
"design_150vus","3","http_req_duration{endpoint:consent_check}",7.171217,21.072371199999996,"",10.388210260125357
"design_150vus","3","http_req_duration",16.767093000000003,55.560321499999915,"",24.937686158479018
"design_150vus","3","http_req_duration{expected_response:true}",16.764934,55.53595219999999,"",24.93361718368827
"design_150vus","3","http_req_duration{endpoint:timeline}",23.446199,77.16415759999994,"",36.2982483465164
"load_1000vus","1","http_req_duration{expected_response:true}",313.690344,944.9344395999999,"",376.8891865722268
"load_1000vus","1","http_req_duration{endpoint:consent_check}",142.390277,481.48592669999914,"",186.44333221206813
"load_1000vus","1","http_req_duration{endpoint:timeline}",496.876324,1100.4199145,"",514.7089276911732
"load_1000vus","1","http_req_duration",313.6723615,944.9164424999994,"",376.8751554691543
"load_1000vus","2","http_req_duration{endpoint:consent_check}",132.33531,365.1986741999999,"",153.04152540478893
"load_1000vus","2","http_req_duration{expected_response:true}",269.139798,745.3061537999993,"",313.732706171511
"load_1000vus","2","http_req_duration",269.13976049999997,745.3056885,"",313.73233093682796
"load_1000vus","2","http_req_duration{endpoint:timeline}",413.498815,845.2008795000004,"",412.0450458652674
"load_1000vus","3","http_req_duration{expected_response:true}",275.945841,764.4117861999997,"",321.77109875522973
"load_1000vus","3","http_req_duration{endpoint:consent_check}",125.849032,347.998517,"",145.89523158459434
"load_1000vus","3","http_req_duration",275.9457855,764.4112278499992,"",321.7706842983409
"load_1000vus","3","http_req_duration{endpoint:timeline}",428.692285,866.1581406000003,"",427.5092059934136
"minimizacao","1","http_req_duration{endpoint:consolidado}",1270.540744,2349.7737392000004,"",1374.374184640638
"minimizacao","1","resp_bytes{endpoint:baseline_full}",5522,5526,"",5522.645550829986
"minimizacao","1","http_req_duration{expected_response:true}",113.024595,1116.1489670500007,"",209.07603909537153
"minimizacao","1","http_req_duration{endpoint:baseline_full}",105.46279050000001,175.02991804999994,"",111.42760035919564
"minimizacao","1","resp_bytes{endpoint:declarado_min}",2652,2652,"",2651.7988793499735
"minimizacao","1","http_req_duration{endpoint:declarado_min}",117.7734895,189.21211219999998,"",122.9632575341358
"minimizacao","1","resp_bytes",5523,17004,"",32227.403487683157
"minimizacao","1","http_req_duration",113.02379350000001,1116.1364572500001,"",209.07511438860126
"minimizacao","2","http_req_duration",108.3498645,272.7102419999998,"",141.333575096412
"minimizacao","2","http_req_duration{endpoint:consolidado}",254.4443875,860.3272506499999,"",456.34719489268247
"minimizacao","2","resp_bytes{endpoint:declarado_min}",2652,2652,"",2651.5991442656496
"minimizacao","2","http_req_duration{endpoint:baseline_full}",133.69994300000002,264.6924717500001,"",152.6088811140057
"minimizacao","2","http_req_duration{endpoint:declarado_min}",115.297229,189.57098059999993,"",122.55364390606184
"minimizacao","2","resp_bytes{endpoint:baseline_full}",5522,5523,"",5522.1007005500305
"minimizacao","2","http_req_duration{expected_response:true}",108.349903,272.7082573999999,"",141.263381968011
"minimizacao","2","resp_bytes",5523,17004,"",6184.863490683084
"minimizacao","3","resp_bytes",5522,17004,"",6110.330177821925
"minimizacao","3","http_req_duration{expected_response:true}",102.859394,230.00706664999996,"",127.37138774326935
"minimizacao","3","http_req_duration{endpoint:consolidado}",252.975155,782.5380068,"",435.3647882533998
"minimizacao","3","http_req_duration",102.86,230.04351459999995,"",127.4670297151085
"minimizacao","3","http_req_duration{endpoint:baseline_full}",106.91760199999999,176.6352108,"",112.78762428437551
"minimizacao","3","http_req_duration{endpoint:declarado_min}",113.230156,181.37764439999998,"",118.33691531482633
"minimizacao","3","resp_bytes{endpoint:declarado_min}",2652,2652,"",2651.8030868065484
"minimizacao","3","resp_bytes{endpoint:baseline_full}",5522,5523,"",5522.299109630455
