ts,grupo,topico,lag
2026-09-19T15:16:11+00:00,audit-service,audit.events,0
2026-09-19T15:16:11+00:00,audit-service,audit.events,0
2026-09-19T15:16:11+00:00,audit-service,audit.events,0
2026-09-19T15:16:11+00:00,lab-service,exam.requested,0
2026-09-19T15:16:11+00:00,lab-service,exam.requested,0
2026-09-19T15:16:11+00:00,notification-service,exam.completed,0
2026-09-19T15:16:11+00:00,notification-service,exam.completed,0
2026-09-19T15:16:11+00:00,result-service,exam.completed,0
2026-09-19T15:16:11+00:00,result-service,exam.completed,0
2026-09-19T15:16:31+00:00,audit-service,audit.events,0
2026-09-19T15:16:31+00:00,audit-service,audit.events,0
2026-09-19T15:16:31+00:00,audit-service,audit.events,0
2026-09-19T15:16:31+00:00,lab-service,exam.requested,0
2026-09-19T15:16:31+00:00,lab-service,exam.requested,0
2026-09-19T15:16:31+00:00,notification-service,exam.completed,0
2026-09-19T15:16:31+00:00,notification-service,exam.completed,0
2026-09-19T15:16:31+00:00,result-service,exam.completed,0
2026-09-19T15:16:31+00:00,result-service,exam.completed,0
2026-09-19T15:16:50+00:00,audit-service,audit.events,0
2026-09-19T15:16:50+00:00,audit-service,audit.events,0
2026-09-19T15:16:50+00:00,audit-service,audit.events,0
2026-09-19T15:16:50+00:00,lab-service,exam.requested,0
2026-09-19T15:16:50+00:00,lab-service,exam.requested,0
2026-09-19T15:16:50+00:00,notification-service,exam.completed,0
2026-09-19T15:16:50+00:00,notification-service,exam.completed,0
2026-09-19T15:16:50+00:00,result-service,exam.completed,0
2026-09-19T15:16:50+00:00,result-service,exam.completed,0
2026-09-19T15:17:10+00:00,audit-service,audit.events,0
2026-09-19T15:17:10+00:00,audit-service,audit.events,0
2026-09-19T15:17:10+00:00,audit-service,audit.events,0
2026-09-19T15:17:10+00:00,lab-service,exam.requested,0
2026-09-19T15:17:10+00:00,lab-service,exam.requested,0
2026-09-19T15:17:10+00:00,notification-service,exam.completed,0
2026-09-19T15:17:10+00:00,notification-service,exam.completed,0
2026-09-19T15:17:10+00:00,result-service,exam.completed,0
2026-09-19T15:17:10+00:00,result-service,exam.completed,0
2026-09-19T15:17:28+00:00,audit-service,audit.events,0
2026-09-19T15:17:28+00:00,audit-service,audit.events,0
2026-09-19T15:17:28+00:00,audit-service,audit.events,0
2026-09-19T15:17:28+00:00,lab-service,exam.requested,0
2026-09-19T15:17:28+00:00,lab-service,exam.requested,0
2026-09-19T15:17:28+00:00,notification-service,exam.completed,0
2026-09-19T15:17:28+00:00,notification-service,exam.completed,0
2026-09-19T15:17:28+00:00,result-service,exam.completed,0
2026-09-19T15:17:28+00:00,result-service,exam.completed,0
2026-09-19T15:17:47+00:00,audit-service,audit.events,0
2026-09-19T15:17:47+00:00,audit-service,audit.events,1
2026-09-19T15:17:47+00:00,audit-service,audit.events,0
2026-09-19T15:17:47+00:00,lab-service,exam.requested,0
2026-09-19T15:17:47+00:00,lab-service,exam.requested,0
2026-09-19T15:17:47+00:00,notification-service,exam.completed,0
2026-09-19T15:17:47+00:00,notification-service,exam.completed,0
2026-09-19T15:17:47+00:00,result-service,exam.completed,0
2026-09-19T15:17:47+00:00,result-service,exam.completed,0
2026-09-19T15:18:06+00:00,audit-service,audit.events,0
2026-09-19T15:18:06+00:00,audit-service,audit.events,1
2026-09-19T15:18:06+00:00,audit-service,audit.events,0
2026-09-19T15:18:06+00:00,lab-service,exam.requested,0
2026-09-19T15:18:06+00:00,lab-service,exam.requested,0
2026-09-19T15:18:06+00:00,notification-service,exam.completed,0
2026-09-19T15:18:06+00:00,notification-service,exam.completed,0
2026-09-19T15:18:06+00:00,result-service,exam.completed,0
2026-09-19T15:18:06+00:00,result-service,exam.completed,0
2026-09-19T15:18:26+00:00,audit-service,audit.events,0
2026-09-19T15:18:26+00:00,audit-service,audit.events,0
2026-09-19T15:18:26+00:00,audit-service,audit.events,0
2026-09-19T15:18:26+00:00,lab-service,exam.requested,0
2026-09-19T15:18:26+00:00,lab-service,exam.requested,0
2026-09-19T15:18:26+00:00,notification-service,exam.completed,0
2026-09-19T15:18:26+00:00,notification-service,exam.completed,0
2026-09-19T15:18:26+00:00,result-service,exam.completed,0
2026-09-19T15:18:26+00:00,result-service,exam.completed,0
2026-09-19T15:18:46+00:00,audit-service,audit.events,0
2026-09-19T15:18:46+00:00,audit-service,audit.events,2
2026-09-19T15:18:46+00:00,audit-service,audit.events,0
2026-09-19T15:18:46+00:00,lab-service,exam.requested,0
2026-09-19T15:18:46+00:00,lab-service,exam.requested,0
2026-09-19T15:18:46+00:00,notification-service,exam.completed,0
2026-09-19T15:18:46+00:00,notification-service,exam.completed,0
2026-09-19T15:18:46+00:00,result-service,exam.completed,0
2026-09-19T15:18:46+00:00,result-service,exam.completed,0
2026-09-19T15:19:05+00:00,audit-service,audit.events,0
2026-09-19T15:19:05+00:00,audit-service,audit.events,5
2026-09-19T15:19:05+00:00,audit-service,audit.events,0
2026-09-19T15:19:05+00:00,lab-service,exam.requested,0
2026-09-19T15:19:05+00:00,lab-service,exam.requested,0
2026-09-19T15:19:05+00:00,notification-service,exam.completed,0
2026-09-19T15:19:05+00:00,notification-service,exam.completed,0
2026-09-19T15:19:05+00:00,result-service,exam.completed,0
2026-09-19T15:19:05+00:00,result-service,exam.completed,0
2026-09-19T15:19:25+00:00,audit-service,audit.events,0
2026-09-19T15:19:25+00:00,audit-service,audit.events,0
2026-09-19T15:19:25+00:00,audit-service,audit.events,0
2026-09-19T15:19:25+00:00,lab-service,exam.requested,0
2026-09-19T15:19:25+00:00,lab-service,exam.requested,0
2026-09-19T15:19:25+00:00,notification-service,exam.completed,0
2026-09-19T15:19:25+00:00,notification-service,exam.completed,0
2026-09-19T15:19:25+00:00,result-service,exam.completed,0
2026-09-19T15:19:25+00:00,result-service,exam.completed,0
2026-09-19T15:19:45+00:00,audit-service,audit.events,0
2026-09-19T15:19:45+00:00,audit-service,audit.events,0
2026-09-19T15:19:45+00:00,audit-service,audit.events,0
2026-09-19T15:19:45+00:00,lab-service,exam.requested,0
2026-09-19T15:19:45+00:00,lab-service,exam.requested,0
2026-09-19T15:19:45+00:00,notification-service,exam.completed,0
2026-09-19T15:19:45+00:00,notification-service,exam.completed,0
2026-09-19T15:19:45+00:00,result-service,exam.completed,0
2026-09-19T15:19:45+00:00,result-service,exam.completed,0
2026-09-19T15:20:05+00:00,audit-service,audit.events,0
2026-09-19T15:20:05+00:00,audit-service,audit.events,0
2026-09-19T15:20:05+00:00,audit-service,audit.events,0
2026-09-19T15:20:05+00:00,lab-service,exam.requested,0
2026-09-19T15:20:05+00:00,lab-service,exam.requested,0
2026-09-19T15:20:05+00:00,notification-service,exam.completed,0
2026-09-19T15:20:05+00:00,notification-service,exam.completed,0
2026-09-19T15:20:05+00:00,result-service,exam.completed,0
2026-09-19T15:20:05+00:00,result-service,exam.completed,0
2026-09-19T15:20:25+00:00,audit-service,audit.events,0
2026-09-19T15:20:25+00:00,audit-service,audit.events,0
2026-09-19T15:20:25+00:00,audit-service,audit.events,3
2026-09-19T15:20:25+00:00,lab-service,exam.requested,0
2026-09-19T15:20:25+00:00,lab-service,exam.requested,0
2026-09-19T15:20:25+00:00,notification-service,exam.completed,0
2026-09-19T15:20:25+00:00,notification-service,exam.completed,0
2026-09-19T15:20:25+00:00,result-service,exam.completed,0
2026-09-19T15:20:25+00:00,result-service,exam.completed,0
2026-09-19T15:20:45+00:00,audit-service,audit.events,0
2026-09-19T15:20:45+00:00,audit-service,audit.events,0
2026-09-19T15:20:45+00:00,audit-service,audit.events,0
2026-09-19T15:20:45+00:00,lab-service,exam.requested,0
2026-09-19T15:20:45+00:00,lab-service,exam.requested,0
2026-09-19T15:20:45+00:00,notification-service,exam.completed,0
2026-09-19T15:20:45+00:00,notification-service,exam.completed,0
2026-09-19T15:20:45+00:00,result-service,exam.completed,0
2026-09-19T15:20:45+00:00,result-service,exam.completed,0
2026-09-19T15:21:05+00:00,audit-service,audit.events,0
2026-09-19T15:21:05+00:00,audit-service,audit.events,0
2026-09-19T15:21:05+00:00,audit-service,audit.events,3
2026-09-19T15:21:05+00:00,lab-service,exam.requested,0
2026-09-19T15:21:05+00:00,lab-service,exam.requested,0
2026-09-19T15:21:05+00:00,notification-service,exam.completed,0
2026-09-19T15:21:05+00:00,notification-service,exam.completed,0
