ts,no,cpu_cores,mem
2026-09-20T07:24:24+00:00,k3d-multitrans-server-0,9137m,22497Mi
2026-09-20T07:24:33+00:00,k3d-multitrans-server-0,7489m,22587Mi
2026-09-20T07:24:40+00:00,k3d-multitrans-server-0,7489m,22587Mi
2026-09-20T07:24:46+00:00,k3d-multitrans-server-0,7073m,22643Mi
2026-09-20T07:24:54+00:00,k3d-multitrans-server-0,7073m,22643Mi
2026-09-20T07:25:00+00:00,k3d-multitrans-server-0,7030m,22672Mi
2026-09-20T07:25:06+00:00,k3d-multitrans-server-0,7030m,22672Mi
2026-09-20T07:25:15+00:00,k3d-multitrans-server-0,7069m,22821Mi
2026-09-20T07:25:21+00:00,k3d-multitrans-server-0,7069m,22821Mi
2026-09-20T07:25:27+00:00,k3d-multitrans-server-0,7069m,22821Mi
2026-09-20T07:25:35+00:00,k3d-multitrans-server-0,6461m,22819Mi
2026-09-20T07:25:40+00:00,k3d-multitrans-server-0,6461m,22819Mi
2026-09-20T07:25:46+00:00,k3d-multitrans-server-0,6134m,22884Mi
2026-09-20T07:25:55+00:00,k3d-multitrans-server-0,6134m,22884Mi
2026-09-20T07:26:00+00:00,k3d-multitrans-server-0,6217m,22911Mi
2026-09-20T07:26:06+00:00,k3d-multitrans-server-0,6217m,22911Mi
2026-09-20T07:26:15+00:00,k3d-multitrans-server-0,6150m,22820Mi
2026-09-20T07:26:20+00:00,k3d-multitrans-server-0,6150m,22820Mi
2026-09-20T07:26:26+00:00,k3d-multitrans-server-0,6150m,22820Mi
2026-09-20T07:26:35+00:00,k3d-multitrans-server-0,6066m,22842Mi
2026-09-20T07:26:41+00:00,k3d-multitrans-server-0,6066m,22842Mi
2026-09-20T07:26:48+00:00,k3d-multitrans-server-0,10573m,22903Mi
2026-09-20T07:26:57+00:00,k3d-multitrans-server-0,10573m,22903Mi
2026-09-20T07:27:02+00:00,k3d-multitrans-server-0,11781m,22928Mi
2026-09-20T07:27:09+00:00,k3d-multitrans-server-0,11781m,22928Mi
2026-09-20T07:27:18+00:00,k3d-multitrans-server-0,10661m,22991Mi
2026-09-20T07:27:24+00:00,k3d-multitrans-server-0,10661m,22991Mi
2026-09-20T07:27:30+00:00,k3d-multitrans-server-0,10231m,23001Mi
2026-09-20T07:27:39+00:00,k3d-multitrans-server-0,10231m,23001Mi
2026-09-20T07:27:45+00:00,k3d-multitrans-server-0,10357m,23105Mi
2026-09-20T07:27:51+00:00,k3d-multitrans-server-0,10357m,23105Mi
2026-09-20T07:27:59+00:00,k3d-multitrans-server-0,9738m,23137Mi
2026-09-20T07:28:05+00:00,k3d-multitrans-server-0,9738m,23137Mi
2026-09-20T07:28:10+00:00,k3d-multitrans-server-0,9738m,23137Mi
2026-09-20T07:28:19+00:00,k3d-multitrans-server-0,9490m,23085Mi
2026-09-20T07:28:25+00:00,k3d-multitrans-server-0,9490m,23085Mi
2026-09-20T07:28:31+00:00,k3d-multitrans-server-0,9554m,23115Mi
2026-09-20T07:28:40+00:00,k3d-multitrans-server-0,9554m,23115Mi
2026-09-20T07:28:46+00:00,k3d-multitrans-server-0,9830m,23222Mi
2026-09-20T07:28:51+00:00,k3d-multitrans-server-0,9830m,23222Mi
2026-09-20T07:29:00+00:00,k3d-multitrans-server-0,12995m,23259Mi
2026-09-20T07:29:07+00:00,k3d-multitrans-server-0,12995m,23259Mi
2026-09-20T07:29:12+00:00,k3d-multitrans-server-0,12995m,23259Mi
2026-09-20T07:29:21+00:00,k3d-multitrans-server-0,13193m,23038Mi
2026-09-20T07:29:27+00:00,k3d-multitrans-server-0,13193m,23038Mi
2026-09-20T07:29:32+00:00,k3d-multitrans-server-0,12687m,22976Mi
2026-09-20T07:29:41+00:00,k3d-multitrans-server-0,12687m,22976Mi
2026-09-20T07:29:47+00:00,k3d-multitrans-server-0,13220m,23180Mi
2026-09-20T07:29:53+00:00,k3d-multitrans-server-0,13220m,23180Mi
2026-09-20T07:30:03+00:00,k3d-multitrans-server-0,12360m,23085Mi
2026-09-20T07:30:09+00:00,k3d-multitrans-server-0,12360m,23085Mi
2026-09-20T07:30:15+00:00,k3d-multitrans-server-0,13424m,22640Mi
2026-09-20T07:30:25+00:00,k3d-multitrans-server-0,13424m,22640Mi
2026-09-20T07:30:32+00:00,k3d-multitrans-server-0,12692m,22622Mi
2026-09-20T07:30:38+00:00,k3d-multitrans-server-0,12692m,22622Mi
2026-09-20T07:30:47+00:00,k3d-multitrans-server-0,13026m,22761Mi
2026-09-20T07:30:53+00:00,k3d-multitrans-server-0,13026m,22761Mi
2026-09-20T07:31:00+00:00,k3d-multitrans-server-0,15156m,22623Mi
2026-09-20T07:31:09+00:00,k3d-multitrans-server-0,15156m,22623Mi
2026-09-20T07:31:15+00:00,k3d-multitrans-server-0,17207m,22657Mi
2026-09-20T07:31:22+00:00,k3d-multitrans-server-0,17207m,22657Mi
2026-09-20T07:31:31+00:00,k3d-multitrans-server-0,16544m,22638Mi
2026-09-20T07:31:37+00:00,k3d-multitrans-server-0,16544m,22638Mi
2026-09-20T07:31:43+00:00,k3d-multitrans-server-0,16544m,22638Mi
2026-09-20T07:31:53+00:00,k3d-multitrans-server-0,16871m,22711Mi
2026-09-20T07:31:59+00:00,k3d-multitrans-server-0,16213m,22662Mi
2026-09-20T07:32:05+00:00,k3d-multitrans-server-0,16213m,22662Mi
2026-09-20T07:32:15+00:00,k3d-multitrans-server-0,17446m,22800Mi
2026-09-20T07:32:21+00:00,k3d-multitrans-server-0,17446m,22800Mi
2026-09-20T07:32:27+00:00,k3d-multitrans-server-0,17446m,22800Mi
2026-09-20T07:32:36+00:00,k3d-multitrans-server-0,16544m,22744Mi
2026-09-20T07:32:43+00:00,k3d-multitrans-server-0,16544m,22744Mi
2026-09-20T07:32:49+00:00,k3d-multitrans-server-0,16813m,22677Mi
2026-09-20T07:32:59+00:00,k3d-multitrans-server-0,16389m,22761Mi
2026-09-20T07:33:05+00:00,k3d-multitrans-server-0,16389m,22761Mi
2026-09-20T07:33:11+00:00,k3d-multitrans-server-0,16389m,22761Mi
2026-09-20T07:33:20+00:00,k3d-multitrans-server-0,19742m,22694Mi
2026-09-20T07:33:26+00:00,k3d-multitrans-server-0,19742m,22694Mi
2026-09-20T07:33:32+00:00,k3d-multitrans-server-0,21367m,22817Mi
2026-09-20T07:33:43+00:00,k3d-multitrans-server-0,21367m,22817Mi
2026-09-20T07:33:48+00:00,k3d-multitrans-server-0,21291m,22912Mi
2026-09-20T07:33:54+00:00,k3d-multitrans-server-0,21291m,22912Mi
2026-09-20T07:34:04+00:00,k3d-multitrans-server-0,21857m,23046Mi
2026-09-20T07:34:10+00:00,k3d-multitrans-server-0,21857m,23046Mi
2026-09-20T07:34:16+00:00,k3d-multitrans-server-0,22021m,23093Mi
2026-09-20T07:34:27+00:00,k3d-multitrans-server-0,22021m,23093Mi
2026-09-20T07:34:33+00:00,k3d-multitrans-server-0,22593m,23238Mi
2026-09-20T07:34:40+00:00,k3d-multitrans-server-0,22593m,23238Mi
2026-09-20T07:34:49+00:00,k3d-multitrans-server-0,20841m,23264Mi
2026-09-20T07:34:55+00:00,k3d-multitrans-server-0,20841m,23264Mi
2026-09-20T07:35:02+00:00,k3d-multitrans-server-0,20817m,23456Mi
2026-09-20T07:35:13+00:00,k3d-multitrans-server-0,20817m,23456Mi
2026-09-20T07:35:19+00:00,k3d-multitrans-server-0,21895m,23136Mi
2026-09-20T07:35:25+00:00,k3d-multitrans-server-0,21895m,23136Mi
2026-09-20T07:35:36+00:00,k3d-multitrans-server-0,23498m,23259Mi
2026-09-20T07:35:42+00:00,k3d-multitrans-server-0,23498m,23259Mi
2026-09-20T07:35:48+00:00,k3d-multitrans-server-0,23635m,23179Mi
2026-09-20T07:35:59+00:00,k3d-multitrans-server-0,23422m,23236Mi
2026-09-20T07:36:06+00:00,k3d-multitrans-server-0,23422m,23236Mi
2026-09-20T07:36:12+00:00,k3d-multitrans-server-0,23422m,23236Mi
2026-09-20T07:36:22+00:00,k3d-multitrans-server-0,23524m,23188Mi
2026-09-20T07:36:28+00:00,k3d-multitrans-server-0,23821m,23313Mi
2026-09-20T07:36:35+00:00,k3d-multitrans-server-0,23821m,23313Mi
2026-09-20T07:36:45+00:00,k3d-multitrans-server-0,22916m,23229Mi
2026-09-20T07:36:51+00:00,k3d-multitrans-server-0,22916m,23229Mi
2026-09-20T07:36:57+00:00,k3d-multitrans-server-0,22916m,23229Mi
2026-09-20T07:37:08+00:00,k3d-multitrans-server-0,22922m,23338Mi
2026-09-20T07:37:15+00:00,k3d-multitrans-server-0,23654m,23232Mi
2026-09-20T07:37:21+00:00,k3d-multitrans-server-0,23654m,23232Mi
2026-09-20T07:37:33+00:00,k3d-multitrans-server-0,24721m,23357Mi
2026-09-20T07:37:39+00:00,k3d-multitrans-server-0,24721m,23357Mi
2026-09-20T07:37:46+00:00,k3d-multitrans-server-0,26362m,23319Mi
2026-09-20T07:37:57+00:00,k3d-multitrans-server-0,26362m,23319Mi
2026-09-20T07:38:03+00:00,k3d-multitrans-server-0,25691m,23317Mi
2026-09-20T07:38:10+00:00,k3d-multitrans-server-0,25691m,23317Mi
2026-09-20T07:38:22+00:00,k3d-multitrans-server-0,26420m,23481Mi
2026-09-20T07:38:29+00:00,k3d-multitrans-server-0,27050m,23496Mi
2026-09-20T07:38:35+00:00,k3d-multitrans-server-0,27050m,23496Mi
2026-09-20T07:38:48+00:00,k3d-multitrans-server-0,26294m,23539Mi
2026-09-20T07:38:55+00:00,k3d-multitrans-server-0,26294m,23539Mi
2026-09-20T07:39:01+00:00,k3d-multitrans-server-0,25865m,23570Mi
2026-09-20T07:39:13+00:00,k3d-multitrans-server-0,25865m,23570Mi
2026-09-20T07:39:19+00:00,k3d-multitrans-server-0,25668m,23594Mi
2026-09-20T07:39:25+00:00,k3d-multitrans-server-0,25668m,23594Mi
2026-09-20T07:39:36+00:00,k3d-multitrans-server-0,25758m,23538Mi
2026-09-20T07:39:43+00:00,k3d-multitrans-server-0,25758m,23538Mi
2026-09-20T07:39:49+00:00,k3d-multitrans-server-0,26913m,23823Mi
2026-09-20T07:40:02+00:00,k3d-multitrans-server-0,27567m,24227Mi
2026-09-20T07:40:09+00:00,k3d-multitrans-server-0,27567m,24227Mi
2026-09-20T07:40:16+00:00,k3d-multitrans-server-0,27551m,23919Mi
2026-09-20T07:40:28+00:00,k3d-multitrans-server-0,27551m,23919Mi
2026-09-20T07:40:35+00:00,k3d-multitrans-server-0,27290m,23893Mi
2026-09-20T07:40:41+00:00,k3d-multitrans-server-0,27290m,23893Mi
2026-09-20T07:40:54+00:00,k3d-multitrans-server-0,27654m,24077Mi
2026-09-20T07:41:00+00:00,k3d-multitrans-server-0,27695m,23965Mi
2026-09-20T07:41:07+00:00,k3d-multitrans-server-0,27695m,23965Mi
2026-09-20T07:41:20+00:00,k3d-multitrans-server-0,27593m,24191Mi
2026-09-20T07:41:27+00:00,k3d-multitrans-server-0,27593m,24191Mi
2026-09-20T07:41:34+00:00,k3d-multitrans-server-0,27109m,23981Mi
2026-09-20T07:41:47+00:00,k3d-multitrans-server-0,27266m,24072Mi
2026-09-20T07:41:53+00:00,k3d-multitrans-server-0,27266m,24072Mi
2026-09-20T07:41:59+00:00,k3d-multitrans-server-0,26873m,24081Mi
2026-09-20T07:42:11+00:00,k3d-multitrans-server-0,26873m,24081Mi
2026-09-20T07:42:17+00:00,k3d-multitrans-server-0,27365m,24082Mi
2026-09-20T07:42:24+00:00,k3d-multitrans-server-0,27365m,24082Mi
2026-09-20T07:42:36+00:00,k3d-multitrans-server-0,26214m,24148Mi
2026-09-20T07:42:42+00:00,k3d-multitrans-server-0,26214m,24148Mi
2026-09-20T07:42:48+00:00,k3d-multitrans-server-0,26708m,24142Mi
2026-09-20T07:42:59+00:00,k3d-multitrans-server-0,27136m,24119Mi
2026-09-20T07:43:05+00:00,k3d-multitrans-server-0,27136m,24119Mi
2026-09-20T07:43:12+00:00,k3d-multitrans-server-0,27136m,24119Mi
2026-09-20T07:43:22+00:00,k3d-multitrans-server-0,27032m,24192Mi
2026-09-20T07:43:29+00:00,k3d-multitrans-server-0,26559m,24143Mi
2026-09-20T07:43:35+00:00,k3d-multitrans-server-0,26559m,24143Mi
2026-09-20T07:43:45+00:00,k3d-multitrans-server-0,26340m,24127Mi
2026-09-20T07:43:51+00:00,k3d-multitrans-server-0,26340m,24127Mi
2026-09-20T07:43:58+00:00,k3d-multitrans-server-0,26340m,24127Mi
2026-09-20T07:44:11+00:00,k3d-multitrans-server-0,26106m,24283Mi
2026-09-20T07:44:17+00:00,k3d-multitrans-server-0,26636m,24238Mi
2026-09-20T07:44:23+00:00,k3d-multitrans-server-0,26636m,24238Mi
2026-09-20T07:44:34+00:00,k3d-multitrans-server-0,27331m,24193Mi
2026-09-20T07:44:41+00:00,k3d-multitrans-server-0,27331m,24193Mi
2026-09-20T07:44:47+00:00,k3d-multitrans-server-0,27336m,24173Mi
2026-09-20T07:44:59+00:00,k3d-multitrans-server-0,27336m,24173Mi
2026-09-20T07:45:06+00:00,k3d-multitrans-server-0,26767m,24781Mi
2026-09-20T07:45:13+00:00,k3d-multitrans-server-0,26767m,24781Mi
2026-09-20T07:45:21+00:00,k3d-multitrans-server-0,27765m,25026Mi
2026-09-20T07:45:27+00:00,k3d-multitrans-server-0,27765m,25026Mi
2026-09-20T07:45:33+00:00,k3d-multitrans-server-0,5014m,25097Mi
2026-09-20T07:45:41+00:00,k3d-multitrans-server-0,5014m,25097Mi
2026-09-20T07:45:48+00:00,k3d-multitrans-server-0,1583m,25107Mi
2026-09-20T07:45:53+00:00,k3d-multitrans-server-0,1583m,25107Mi
2026-09-20T07:46:01+00:00,k3d-multitrans-server-0,1361m,25093Mi
2026-09-20T07:46:06+00:00,k3d-multitrans-server-0,1361m,25093Mi
2026-09-20T07:46:12+00:00,k3d-multitrans-server-0,1361m,25093Mi
2026-09-20T07:46:20+00:00,k3d-multitrans-server-0,1604m,24962Mi
2026-09-20T07:46:25+00:00,k3d-multitrans-server-0,1604m,24962Mi
2026-09-20T07:46:31+00:00,k3d-multitrans-server-0,1401m,24866Mi
2026-09-20T07:46:39+00:00,k3d-multitrans-server-0,1401m,24866Mi
2026-09-20T07:46:45+00:00,k3d-multitrans-server-0,1502m,24882Mi
2026-09-20T07:46:51+00:00,k3d-multitrans-server-0,1502m,24882Mi
2026-09-20T07:46:59+00:00,k3d-multitrans-server-0,1215m,24873Mi
2026-09-20T07:47:05+00:00,k3d-multitrans-server-0,1215m,24873Mi
2026-09-20T07:47:11+00:00,k3d-multitrans-server-0,1215m,24873Mi
2026-09-20T07:47:19+00:00,k3d-multitrans-server-0,1491m,24885Mi
2026-09-20T07:47:24+00:00,k3d-multitrans-server-0,1491m,24885Mi
2026-09-20T07:47:30+00:00,k3d-multitrans-server-0,1411m,24396Mi
2026-09-20T07:47:38+00:00,k3d-multitrans-server-0,1411m,24396Mi
2026-09-20T07:47:43+00:00,k3d-multitrans-server-0,1509m,24416Mi
2026-09-20T07:47:49+00:00,k3d-multitrans-server-0,1509m,24416Mi
2026-09-20T07:47:57+00:00,k3d-multitrans-server-0,1509m,24416Mi
2026-09-20T07:48:03+00:00,k3d-multitrans-server-0,1199m,24412Mi
2026-09-20T07:48:09+00:00,k3d-multitrans-server-0,1199m,24412Mi
2026-09-20T07:48:16+00:00,k3d-multitrans-server-0,1535m,24390Mi
2026-09-20T07:48:22+00:00,k3d-multitrans-server-0,1535m,24390Mi
