ts,metrica,servico,valor
2026-09-20T07:24:24+00:00,hikari_pendentes,"audit-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"auth-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"notification-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"exam-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"triage-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"audit-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"notification-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"exam-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"triage-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"auth-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"audit-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"audit-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_pendentes,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"audit-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"auth-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"notification-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"exam-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"triage-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"audit-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"notification-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"exam-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"triage-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"auth-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"audit-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"result-service","1"
2026-09-20T07:24:24+00:00,hikari_ativas,"patient-service","1"
2026-09-20T07:24:24+00:00,hikari_ativas,"result-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"audit-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"patient-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_ativas,"consent-service","0"
2026-09-20T07:24:24+00:00,hikari_max,"audit-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"patient-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"auth-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"result-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"notification-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"exam-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"triage-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"consent-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"audit-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"notification-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"exam-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"triage-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"patient-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"result-service","5"
2026-09-20T07:24:24+00:00,hikari_max,"consent-service","5"
