ts,banco,tabela,linhas_estimadas
2026-09-19T15:16:11+00:00,patientdb,patients,59920
2026-09-19T15:16:11+00:00,examdb,exam_requests,6
2026-09-19T15:16:11+00:00,resultdb,exam_results,10
2026-09-19T15:16:11+00:00,authdb,auth_clients,6
2026-09-19T15:16:11+00:00,consentdb,consents,7
2026-09-19T15:16:11+00:00,auditdb,audit_anomaly,5
2026-09-19T15:16:11+00:00,auditdb,audit_log,156959
2026-09-19T15:16:11+00:00,notificationdb,notifications,11
2026-09-19T15:16:11+00:00,triagedb,triages,3
2026-09-19T15:17:28+00:00,patientdb,patients,60236
2026-09-19T15:17:28+00:00,examdb,exam_requests,6
2026-09-19T15:17:28+00:00,resultdb,exam_results,10
2026-09-19T15:17:28+00:00,authdb,auth_clients,6
2026-09-19T15:17:28+00:00,consentdb,consents,8
2026-09-19T15:17:28+00:00,auditdb,audit_anomaly,6
2026-09-19T15:17:28+00:00,auditdb,audit_log,157775
2026-09-19T15:17:28+00:00,notificationdb,notifications,11
2026-09-19T15:17:28+00:00,triagedb,triages,3
2026-09-19T15:18:46+00:00,patientdb,patients,62274
2026-09-19T15:18:46+00:00,examdb,exam_requests,6
2026-09-19T15:18:46+00:00,resultdb,exam_results,10
2026-09-19T15:18:46+00:00,authdb,auth_clients,6
2026-09-19T15:18:46+00:00,consentdb,consents,8
2026-09-19T15:18:46+00:00,auditdb,audit_anomaly,6
2026-09-19T15:18:46+00:00,auditdb,audit_log,163138
2026-09-19T15:18:46+00:00,notificationdb,notifications,11
2026-09-19T15:18:46+00:00,triagedb,triages,3
2026-09-19T15:20:05+00:00,patientdb,patients,63675
2026-09-19T15:20:05+00:00,examdb,exam_requests,6
2026-09-19T15:20:05+00:00,resultdb,exam_results,10
2026-09-19T15:20:05+00:00,authdb,auth_clients,6
2026-09-19T15:20:05+00:00,consentdb,consents,9
2026-09-19T15:20:05+00:00,auditdb,audit_anomaly,7
2026-09-19T15:20:05+00:00,auditdb,audit_log,166571
2026-09-19T15:20:05+00:00,notificationdb,notifications,11
2026-09-19T15:20:05+00:00,triagedb,triages,3
2026-09-19T15:21:25+00:00,patientdb,patients,65929
2026-09-19T15:21:25+00:00,examdb,exam_requests,6
2026-09-19T15:21:25+00:00,resultdb,exam_results,10
2026-09-19T15:21:25+00:00,authdb,auth_clients,6
2026-09-19T15:21:25+00:00,consentdb,consents,9
2026-09-19T15:21:25+00:00,auditdb,audit_anomaly,7
2026-09-19T15:21:25+00:00,auditdb,audit_log,172344
2026-09-19T15:21:25+00:00,notificationdb,notifications,11
